,marital,mntlhlth,degree,satfin,neisafe,relpersn,race_is_white,race_is_black,race_is_other
3025,1,0.0,0.0,2.0,3.0,2.0,False,False,True
3026,0,15.0,0.0,2.0,3.0,2.0,True,False,False
3029,1,8.0,1.0,2.0,2.0,3.0,False,False,True
3033,0,15.0,0.0,2.0,2.0,2.0,True,False,False
3035,0,0.0,2.0,3.0,2.0,4.0,True,False,False
3036,1,0.0,1.0,3.0,1.0,3.0,True,False,False
3037,0,7.0,1.0,3.0,2.0,4.0,True,False,False
3038,1,0.0,1.0,3.0,2.0,2.0,False,False,True
3039,0,0.0,1.0,3.0,1.0,4.0,True,False,False
3041,1,0.0,4.0,1.0,1.0,4.0,True,False,False
3043,1,1.0,4.0,1.0,1.0,4.0,True,False,False
3044,0,1.0,1.0,2.0,1.0,2.0,True,False,False
3045,0,1.0,3.0,1.0,1.0,4.0,False,False,True
3049,0,0.0,4.0,3.0,1.0,4.0,True,False,False
3050,0,2.0,4.0,1.0,1.0,2.0,True,False,False
3051,0,3.0,3.0,2.0,1.0,4.0,False,False,True
3054,1,0.0,3.0,3.0,2.0,3.0,False,False,True
3056,0,0.0,1.0,1.0,2.0,4.0,False,False,True
3057,0,1.0,1.0,1.0,2.0,2.0,False,False,True
3060,1,10.0,3.0,2.0,1.0,2.0,False,False,True
3062,0,3.0,3.0,1.0,1.0,1.0,True,False,False
3063,0,1.0,0.0,2.0,2.0,3.0,False,False,True
3064,1,0.0,1.0,2.0,2.0,2.0,True,False,False
3065,1,0.0,3.0,2.0,1.0,3.0,True,False,False
3066,1,0.0,1.0,1.0,1.0,4.0,True,False,False
3067,0,14.0,3.0,2.0,1.0,3.0,False,False,True
3073,1,14.0,1.0,2.0,1.0,4.0,True,False,False
3075,1,20.0,4.0,3.0,1.0,4.0,True,False,False
3078,1,0.0,1.0,2.0,1.0,3.0,True,False,False
3082,1,0.0,2.0,2.0,2.0,2.0,True,False,False
3084,1,0.0,0.0,2.0,2.0,4.0,True,False,False
3086,1,3.0,1.0,1.0,2.0,2.0,True,False,False
3087,1,10.0,4.0,2.0,1.0,2.0,True,False,False
3088,1,5.0,3.0,2.0,1.0,4.0,True,False,False
3089,1,0.0,1.0,2.0,2.0,2.0,True,False,False
3090,0,0.0,1.0,1.0,1.0,2.0,False,True,False
3091,0,0.0,3.0,2.0,1.0,3.0,False,False,True
3092,0,15.0,1.0,1.0,2.0,3.0,True,False,False
3094,0,6.0,3.0,2.0,2.0,3.0,True,False,False
3096,0,0.0,1.0,1.0,2.0,3.0,True,False,False
3097,0,0.0,1.0,2.0,2.0,4.0,False,False,True
3098,0,6.0,3.0,2.0,1.0,2.0,True,False,False
3099,1,0.0,3.0,1.0,1.0,1.0,False,True,False
3101,1,5.0,1.0,2.0,1.0,4.0,True,False,False
3102,1,2.0,3.0,1.0,1.0,4.0,True,False,False
3103,0,0.0,0.0,1.0,1.0,1.0,True,False,False
3105,1,0.0,4.0,2.0,1.0,2.0,True,False,False
3107,1,0.0,2.0,2.0,1.0,1.0,True,False,False
3109,1,0.0,1.0,3.0,2.0,2.0,True,False,False
3110,1,10.0,1.0,2.0,3.0,4.0,True,False,False
3111,0,30.0,1.0,3.0,3.0,4.0,True,False,False
3112,0,0.0,1.0,2.0,3.0,2.0,False,False,True
3113,0,5.0,1.0,1.0,2.0,2.0,False,False,True
3118,1,0.0,3.0,1.0,1.0,4.0,True,False,False
3123,0,30.0,1.0,3.0,1.0,4.0,False,False,True
3124,0,2.0,3.0,3.0,1.0,3.0,True,False,False
3126,1,0.0,1.0,2.0,1.0,3.0,False,False,True
3128,0,0.0,3.0,1.0,1.0,4.0,True,False,False
3129,1,20.0,3.0,2.0,1.0,2.0,True,False,False
3130,1,2.0,3.0,3.0,1.0,2.0,True,False,False
3133,0,0.0,3.0,2.0,2.0,4.0,True,False,False
3134,0,10.0,2.0,1.0,2.0,4.0,True,False,False
3135,0,0.0,3.0,2.0,2.0,3.0,False,True,False
3136,0,2.0,1.0,2.0,2.0,2.0,True,False,False
3137,0,2.0,1.0,1.0,3.0,3.0,False,False,True
3138,1,0.0,3.0,2.0,3.0,1.0,True,False,False
3139,0,1.0,1.0,2.0,3.0,2.0,True,False,False
3140,0,0.0,4.0,3.0,1.0,2.0,True,False,False
3142,1,3.0,3.0,1.0,1.0,4.0,True,False,False
3143,1,0.0,4.0,1.0,1.0,4.0,True,False,False
3144,0,3.0,1.0,2.0,1.0,4.0,True,False,False
3145,1,0.0,1.0,1.0,1.0,4.0,True,False,False
3146,1,0.0,3.0,1.0,1.0,2.0,False,True,False
3147,0,3.0,1.0,2.0,1.0,3.0,True,False,False
3148,1,0.0,1.0,3.0,1.0,4.0,True,False,False
3149,1,0.0,1.0,3.0,1.0,2.0,True,False,False
3154,0,0.0,1.0,3.0,1.0,3.0,True,False,False
3155,0,0.0,1.0,1.0,1.0,1.0,True,False,False
3157,0,1.0,3.0,2.0,1.0,1.0,True,False,False
3158,1,3.0,4.0,1.0,1.0,2.0,True,False,False
3159,0,0.0,1.0,3.0,1.0,4.0,True,False,False
3160,0,2.0,1.0,3.0,1.0,3.0,True,False,False
3162,1,2.0,3.0,1.0,1.0,4.0,True,False,False
3165,0,2.0,4.0,3.0,1.0,1.0,True,False,False
3166,0,0.0,3.0,2.0,1.0,2.0,False,True,False
3167,1,2.0,3.0,1.0,1.0,4.0,False,True,False
3169,1,0.0,1.0,1.0,1.0,3.0,True,False,False
3170,0,0.0,4.0,1.0,1.0,2.0,True,False,False
3171,1,0.0,1.0,2.0,1.0,2.0,True,False,False
3172,0,0.0,1.0,2.0,1.0,3.0,False,False,True
3173,0,0.0,3.0,2.0,1.0,2.0,True,False,False
3174,0,0.0,0.0,2.0,1.0,4.0,False,False,True
3175,0,30.0,1.0,3.0,1.0,4.0,True,False,False
3178,0,0.0,3.0,2.0,1.0,3.0,False,False,True
3179,0,0.0,4.0,2.0,1.0,3.0,True,False,False
3180,1,0.0,4.0,1.0,1.0,4.0,True,False,False
3181,0,10.0,1.0,1.0,1.0,4.0,True,False,False
3182,0,5.0,3.0,2.0,1.0,1.0,False,True,False
3185,1,0.0,4.0,2.0,1.0,1.0,True,False,False
3186,1,0.0,1.0,3.0,1.0,1.0,False,True,False
3188,1,0.0,1.0,2.0,1.0,2.0,False,True,False
3197,0,7.0,2.0,1.0,1.0,2.0,True,False,False
3198,1,0.0,4.0,1.0,1.0,4.0,True,False,False
3203,0,14.0,4.0,2.0,1.0,3.0,True,False,False
3204,1,0.0,4.0,1.0,1.0,1.0,True,False,False
3205,1,2.0,3.0,2.0,1.0,2.0,True,False,False
3206,0,0.0,3.0,2.0,1.0,2.0,True,False,False
3207,0,15.0,4.0,1.0,1.0,1.0,True,False,False
3209,1,0.0,3.0,1.0,2.0,1.0,False,True,False
3210,1,0.0,4.0,1.0,1.0,1.0,True,False,False
3213,0,10.0,1.0,2.0,2.0,2.0,False,True,False
3217,1,0.0,4.0,1.0,2.0,3.0,False,True,False
3221,1,0.0,4.0,1.0,1.0,2.0,True,False,False
3223,0,0.0,0.0,3.0,1.0,2.0,False,True,False
3224,1,0.0,4.0,2.0,1.0,2.0,False,True,False
3225,0,0.0,2.0,2.0,1.0,4.0,True,False,False
3226,0,0.0,1.0,1.0,1.0,2.0,True,False,False
3229,1,15.0,1.0,2.0,1.0,1.0,True,False,False
3230,0,0.0,3.0,2.0,1.0,3.0,True,False,False
3231,0,15.0,2.0,2.0,1.0,2.0,True,False,False
3234,0,1.0,3.0,2.0,1.0,4.0,True,False,False
3235,1,6.0,4.0,1.0,1.0,4.0,True,False,False
3237,0,2.0,3.0,1.0,1.0,3.0,True,False,False
3238,1,6.0,3.0,2.0,1.0,4.0,True,False,False
3239,0,5.0,3.0,2.0,1.0,3.0,True,False,False
3241,0,2.0,3.0,2.0,1.0,4.0,True,False,False
3243,0,2.0,1.0,2.0,1.0,3.0,True,False,False
3247,1,0.0,1.0,1.0,1.0,4.0,True,False,False
3250,1,10.0,3.0,2.0,1.0,4.0,False,False,True
3251,1,0.0,4.0,2.0,1.0,2.0,True,False,False
3252,0,2.0,3.0,3.0,1.0,4.0,True,False,False
3253,0,5.0,3.0,2.0,1.0,3.0,True,False,False
3254,0,10.0,4.0,2.0,1.0,3.0,True,False,False
3255,1,0.0,2.0,2.0,2.0,1.0,False,True,False
3257,0,15.0,1.0,3.0,2.0,2.0,False,False,True
3258,0,3.0,4.0,2.0,2.0,3.0,True,False,False
3260,0,2.0,4.0,1.0,1.0,4.0,False,False,True
3261,1,25.0,0.0,1.0,1.0,4.0,True,False,False
3262,1,0.0,1.0,1.0,1.0,2.0,True,False,False
3264,1,0.0,4.0,1.0,1.0,3.0,True,False,False
3267,0,2.0,3.0,2.0,1.0,3.0,True,False,False
3269,0,0.0,1.0,1.0,2.0,2.0,True,False,False
3270,1,0.0,0.0,2.0,2.0,2.0,True,False,False
3274,1,0.0,1.0,3.0,1.0,2.0,False,False,True
3276,1,3.0,1.0,2.0,1.0,2.0,True,False,False
3278,0,0.0,1.0,1.0,1.0,3.0,True,False,False
3279,1,0.0,1.0,1.0,1.0,4.0,True,False,False
3280,1,0.0,2.0,1.0,1.0,2.0,True,False,False
3282,1,0.0,3.0,1.0,1.0,4.0,True,False,False
3283,0,0.0,1.0,2.0,1.0,3.0,True,False,False
3285,1,10.0,2.0,2.0,1.0,1.0,False,False,True
3286,0,10.0,3.0,3.0,2.0,3.0,True,False,False
3288,1,0.0,2.0,1.0,1.0,3.0,True,False,False
3289,0,2.0,1.0,3.0,1.0,3.0,True,False,False
3290,0,0.0,1.0,3.0,1.0,3.0,False,False,True
3291,1,1.0,1.0,2.0,1.0,4.0,True,False,False
3292,1,0.0,4.0,2.0,1.0,2.0,True,False,False
3293,1,0.0,4.0,2.0,1.0,1.0,True,False,False
3294,1,0.0,4.0,1.0,1.0,4.0,False,False,True
3295,0,2.0,3.0,2.0,1.0,4.0,True,False,False
3296,1,0.0,1.0,1.0,2.0,2.0,False,False,True
3297,0,0.0,3.0,2.0,1.0,1.0,True,False,False
3298,1,0.0,3.0,1.0,1.0,1.0,True,False,False
3300,1,0.0,3.0,3.0,2.0,2.0,False,False,True
3305,1,0.0,4.0,1.0,1.0,3.0,True,False,False
3306,0,0.0,1.0,3.0,1.0,3.0,False,True,False
3307,1,2.0,4.0,3.0,2.0,3.0,False,False,True
3308,1,15.0,3.0,2.0,2.0,3.0,True,False,False
3312,0,7.0,1.0,1.0,2.0,1.0,False,False,True
3313,0,5.0,1.0,2.0,2.0,2.0,False,False,True
3314,0,5.0,3.0,2.0,2.0,4.0,False,True,False
3320,0,1.0,3.0,2.0,2.0,3.0,True,False,False
3321,0,0.0,4.0,3.0,2.0,1.0,False,True,False
3326,1,2.0,2.0,1.0,2.0,2.0,True,False,False
3327,1,0.0,3.0,2.0,2.0,4.0,True,False,False
3328,0,5.0,3.0,2.0,2.0,3.0,False,False,True
3329,1,2.0,2.0,2.0,2.0,4.0,True,False,False
3330,0,5.0,3.0,2.0,2.0,4.0,True,False,False
3332,0,4.0,1.0,2.0,1.0,2.0,True,False,False
3333,1,1.0,2.0,3.0,1.0,4.0,False,False,True
3335,1,2.0,3.0,1.0,1.0,3.0,True,False,False
3336,0,0.0,1.0,3.0,1.0,4.0,True,False,False
3338,0,3.0,4.0,2.0,1.0,2.0,False,False,True
3340,1,0.0,4.0,2.0,1.0,2.0,True,False,False
3343,1,5.0,4.0,2.0,1.0,4.0,True,False,False
3344,1,2.0,3.0,1.0,1.0,1.0,False,False,True
3346,0,15.0,1.0,2.0,1.0,4.0,True,False,False
3347,0,1.0,4.0,1.0,1.0,1.0,False,False,True
3348,1,4.0,1.0,2.0,1.0,4.0,False,True,False
3350,0,10.0,1.0,2.0,1.0,4.0,True,False,False
3353,0,3.0,3.0,2.0,1.0,2.0,False,True,False
3355,1,0.0,0.0,2.0,1.0,3.0,True,False,False
3357,1,5.0,3.0,1.0,1.0,2.0,True,False,False
3358,1,0.0,4.0,1.0,1.0,3.0,True,False,False
3359,0,3.0,4.0,2.0,1.0,2.0,True,False,False
3361,0,0.0,3.0,1.0,1.0,2.0,True,False,False
3362,0,15.0,0.0,1.0,2.0,4.0,False,True,False
3363,0,0.0,1.0,1.0,2.0,2.0,False,True,False
3365,1,0.0,0.0,1.0,2.0,3.0,True,False,False
3367,1,0.0,1.0,1.0,1.0,4.0,True,False,False
3368,1,0.0,3.0,1.0,1.0,3.0,False,True,False
3369,1,0.0,3.0,2.0,1.0,2.0,True,False,False
3370,1,0.0,1.0,1.0,1.0,4.0,True,False,False
3371,1,0.0,1.0,1.0,1.0,4.0,False,False,True
3373,1,0.0,4.0,2.0,1.0,1.0,True,False,False
3374,1,2.0,3.0,1.0,1.0,3.0,False,False,True
3375,1,0.0,4.0,2.0,1.0,4.0,True,False,False
3376,1,1.0,3.0,2.0,1.0,4.0,False,True,False
3377,0,0.0,4.0,3.0,1.0,1.0,False,False,True
3378,1,0.0,3.0,1.0,1.0,3.0,True,False,False
3380,1,3.0,3.0,1.0,1.0,2.0,True,False,False
3382,1,0.0,1.0,1.0,1.0,3.0,True,False,False
3385,0,7.0,3.0,1.0,1.0,2.0,True,False,False
3388,1,7.0,1.0,1.0,1.0,1.0,True,False,False
3389,1,0.0,1.0,1.0,1.0,1.0,True,False,False
3390,0,3.0,1.0,3.0,3.0,2.0,True,False,False
3391,1,2.0,1.0,1.0,1.0,4.0,True,False,False
3393,1,0.0,1.0,2.0,1.0,1.0,True,False,False
3394,0,2.0,1.0,1.0,1.0,2.0,True,False,False
3396,0,3.0,1.0,3.0,1.0,3.0,True,False,False
3397,0,0.0,1.0,1.0,2.0,2.0,False,True,False
3399,0,0.0,1.0,1.0,1.0,2.0,False,True,False
3400,1,0.0,4.0,1.0,1.0,2.0,True,False,False
3402,1,0.0,1.0,3.0,2.0,1.0,True,False,False
3404,1,2.0,3.0,2.0,1.0,2.0,True,False,False
3405,1,5.0,1.0,3.0,2.0,2.0,True,False,False
3406,1,5.0,1.0,2.0,2.0,2.0,True,False,False
3407,0,25.0,4.0,3.0,2.0,2.0,True,False,False
3409,0,0.0,3.0,2.0,2.0,2.0,False,True,False
3410,1,0.0,1.0,1.0,2.0,4.0,False,False,True
3411,0,5.0,2.0,3.0,1.0,3.0,True,False,False
3417,1,1.0,3.0,2.0,1.0,1.0,True,False,False
3418,0,1.0,1.0,1.0,1.0,3.0,True,False,False
3419,1,2.0,3.0,2.0,1.0,2.0,True,False,False
3420,0,0.0,1.0,1.0,1.0,2.0,False,False,True
3421,1,0.0,3.0,2.0,1.0,2.0,True,False,False
3422,1,0.0,2.0,1.0,1.0,2.0,True,False,False
3425,1,1.0,3.0,1.0,1.0,3.0,True,False,False
3426,0,20.0,4.0,1.0,1.0,4.0,True,False,False
3428,1,0.0,1.0,1.0,1.0,4.0,True,False,False
3429,0,2.0,3.0,1.0,2.0,3.0,False,False,True
3430,1,0.0,3.0,2.0,2.0,3.0,False,False,True
3431,0,1.0,1.0,2.0,2.0,4.0,True,False,False
3433,1,0.0,3.0,2.0,1.0,3.0,True,False,False
3435,1,0.0,3.0,1.0,1.0,3.0,True,False,False
3437,0,10.0,4.0,1.0,2.0,4.0,True,False,False
3438,0,3.0,3.0,2.0,2.0,3.0,True,False,False
3439,1,5.0,4.0,1.0,2.0,3.0,True,False,False
3440,0,0.0,1.0,2.0,2.0,3.0,False,True,False
3442,0,0.0,1.0,3.0,3.0,3.0,False,True,False
3444,0,2.0,1.0,1.0,2.0,2.0,False,True,False
3445,0,0.0,1.0,2.0,2.0,2.0,False,True,False
3447,0,10.0,4.0,3.0,2.0,4.0,True,False,False
3448,0,0.0,1.0,3.0,2.0,4.0,True,False,False
3449,0,8.0,1.0,2.0,2.0,3.0,False,False,True
3450,0,14.0,1.0,3.0,3.0,3.0,True,False,False
3451,1,30.0,1.0,2.0,2.0,3.0,True,False,False
3452,0,0.0,0.0,2.0,2.0,4.0,False,False,True
3453,1,0.0,3.0,3.0,2.0,4.0,False,False,True
3454,0,0.0,2.0,3.0,1.0,2.0,False,True,False
3455,0,25.0,3.0,3.0,1.0,1.0,False,True,False
3456,1,0.0,1.0,1.0,1.0,2.0,False,True,False
3457,0,4.0,0.0,1.0,2.0,3.0,False,False,True
3458,0,0.0,3.0,3.0,3.0,1.0,False,True,False
3459,0,0.0,1.0,2.0,2.0,4.0,False,True,False
3460,1,0.0,1.0,3.0,2.0,1.0,False,True,False
3462,1,0.0,1.0,1.0,1.0,3.0,True,False,False
3463,0,0.0,1.0,1.0,2.0,3.0,False,False,True
3465,1,0.0,4.0,1.0,2.0,2.0,False,True,False
3466,0,0.0,1.0,2.0,2.0,2.0,False,False,True
3469,1,0.0,1.0,2.0,1.0,1.0,True,False,False
3474,1,0.0,1.0,1.0,1.0,2.0,True,False,False
3476,0,0.0,0.0,1.0,2.0,2.0,False,False,True
3477,1,3.0,0.0,2.0,2.0,3.0,False,False,True
3478,0,0.0,0.0,1.0,3.0,2.0,False,False,True
3479,0,0.0,0.0,3.0,2.0,2.0,False,False,True
3488,0,2.0,1.0,3.0,2.0,2.0,False,True,False
3489,0,2.0,4.0,1.0,1.0,3.0,True,False,False
3490,1,0.0,1.0,1.0,2.0,1.0,False,False,True
3492,0,0.0,1.0,3.0,1.0,4.0,True,False,False
3494,0,7.0,4.0,2.0,1.0,4.0,False,True,False
3500,0,0.0,1.0,3.0,1.0,3.0,False,True,False
3501,0,0.0,4.0,2.0,1.0,2.0,False,True,False
3502,0,0.0,1.0,1.0,2.0,2.0,False,True,False
3503,1,0.0,1.0,1.0,2.0,2.0,False,False,True
3505,0,10.0,1.0,3.0,2.0,2.0,False,True,False
3506,1,0.0,1.0,2.0,1.0,3.0,True,False,False
3507,1,0.0,3.0,1.0,1.0,4.0,True,False,False
3508,0,0.0,1.0,2.0,2.0,4.0,False,True,False
3509,1,0.0,2.0,1.0,2.0,4.0,True,False,False
3510,1,0.0,1.0,2.0,1.0,2.0,True,False,False
3513,1,3.0,1.0,1.0,1.0,1.0,True,False,False
3514,1,2.0,0.0,2.0,2.0,3.0,True,False,False
3518,0,0.0,1.0,2.0,3.0,3.0,False,False,True
3519,0,2.0,4.0,2.0,3.0,4.0,False,True,False
3520,0,3.0,3.0,2.0,3.0,4.0,False,True,False
3521,0,0.0,1.0,3.0,3.0,2.0,False,True,False
3523,1,0.0,1.0,2.0,2.0,1.0,False,True,False
3524,1,0.0,1.0,1.0,1.0,4.0,True,False,False
3526,0,0.0,1.0,3.0,2.0,4.0,False,True,False
3528,0,0.0,1.0,3.0,1.0,4.0,False,True,False
3530,1,5.0,1.0,2.0,2.0,2.0,False,False,True
3531,1,0.0,3.0,1.0,2.0,2.0,False,True,False
3532,1,0.0,3.0,2.0,2.0,2.0,False,True,False
3533,0,0.0,2.0,1.0,2.0,2.0,True,False,False
3534,0,7.0,3.0,2.0,2.0,2.0,False,True,False
3536,0,5.0,1.0,2.0,2.0,2.0,True,False,False
3537,1,0.0,3.0,2.0,2.0,2.0,False,True,False
3538,1,0.0,1.0,1.0,1.0,2.0,True,False,False
3539,0,0.0,1.0,2.0,1.0,3.0,True,False,False
3541,1,0.0,2.0,2.0,1.0,2.0,True,False,False
3542,0,25.0,1.0,2.0,1.0,4.0,True,False,False
3543,0,0.0,1.0,2.0,2.0,3.0,False,True,False
3545,1,0.0,1.0,3.0,2.0,1.0,False,False,True
3547,1,0.0,1.0,3.0,2.0,3.0,False,True,False
3548,1,0.0,3.0,1.0,2.0,1.0,False,True,False
3549,1,0.0,2.0,1.0,2.0,4.0,False,True,False
3551,1,0.0,1.0,2.0,1.0,3.0,True,False,False
3554,1,2.0,1.0,3.0,2.0,2.0,False,False,True
3555,0,0.0,1.0,3.0,2.0,4.0,False,True,False
3557,1,0.0,1.0,3.0,1.0,4.0,False,True,False
3558,0,30.0,1.0,3.0,1.0,3.0,False,True,False
3559,0,0.0,4.0,3.0,1.0,1.0,False,True,False
3561,1,0.0,1.0,2.0,1.0,3.0,True,False,False
3562,0,20.0,1.0,3.0,1.0,2.0,False,False,True
3564,0,30.0,1.0,2.0,2.0,2.0,True,False,False
3565,0,0.0,3.0,2.0,1.0,2.0,True,False,False
3567,1,0.0,1.0,1.0,1.0,2.0,False,False,True
3570,0,0.0,0.0,2.0,1.0,2.0,True,False,False
3572,0,3.0,1.0,2.0,1.0,2.0,True,False,False
3573,1,0.0,1.0,1.0,2.0,1.0,True,False,False
3574,0,0.0,1.0,2.0,2.0,2.0,True,False,False
3577,0,0.0,0.0,2.0,2.0,3.0,True,False,False
3579,0,0.0,4.0,1.0,2.0,2.0,True,False,False
3581,1,0.0,0.0,3.0,2.0,1.0,False,True,False
3582,1,3.0,4.0,2.0,1.0,2.0,True,False,False
3584,1,0.0,4.0,1.0,1.0,2.0,True,False,False
3585,1,0.0,4.0,2.0,1.0,4.0,True,False,False
3586,1,0.0,4.0,2.0,2.0,2.0,True,False,False
3588,0,0.0,3.0,1.0,2.0,2.0,False,True,False
3592,0,0.0,2.0,3.0,2.0,1.0,False,True,False
3593,0,0.0,1.0,2.0,1.0,3.0,False,True,False
3594,0,0.0,1.0,3.0,3.0,4.0,False,True,False
3595,0,0.0,1.0,3.0,3.0,3.0,False,True,False
3596,0,5.0,1.0,2.0,3.0,4.0,False,True,False
3597,1,0.0,2.0,2.0,3.0,1.0,False,True,False
3598,0,0.0,1.0,3.0,3.0,2.0,False,True,False
